,matchId,contestantId,playerId,matchName,shirtNumber,position,positionSide,formationPlace
6903,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,gy2us7bvt80iil2vmzdmxrrp,C. Suarez,13,Defender,Left/Centre,6
6904,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,d9ns2ltj5nu2ysl23zf10o7ze,S. Pereira,26,Defender,Centre/Right,5
6905,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,cjmai4tgydff5g6ykyrclt8et,B. San Juan,4,Defender,Right,2
6906,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,1z0ee5hxms409lpw0xysut3h1,Á. Madrid,6,Defensive Midfielder,Left,11
6907,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,5yjiqgdcnka7bm1i4dknxvq0a,B. Rivera,2,Defensive Midfielder,Centre,4
6908,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,287fodtg3sbi6enk4lp5gkt79,R. Echeverría,20,Defensive Midfielder,Right,7
6909,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,3kgj8qv3krm0g4u8eidfdw0r9,J. Cuevas,10,Attacking Midfielder,Centre,8
6910,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,dhy4u5ea6vtob2g2ugvzrn93p,M. Ceratto,7,Striker,Left/Centre,10
6911,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,2vsfek9vs6zdvueb4v23vrj6d,W. González,9,Striker,Centre/Right,9
6912,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,351nzn9u8g8ju7qnl2cy4codm,J. Díaz,8,Substitute,,
6913,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,5h1pmc7hvyztuuwrrdeoth2ol,C. Lobos,18,Substitute,,
6914,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,eqbwy8i0csaw6ym2u7w1vnpxw,F. Robles Toro,19,Substitute,,
6915,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,7pfg5o00t7x7u4w0raxp0obmd,C. Rodríguez,29,Substitute,,
6916,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,crbzje4uia8cbjfw0707ieitx,F. Saavedra,23,Substitute,,
6917,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,d7kjfjvkxk223lpk0k2cg1fit,L. Santelices,30,Substitute,,
6918,24po3gskaeax4azyjk30r3dka,9dqkgu00tn42928lrrxlis95a,c43to04jy71aewg5f7qse9iol,M. Velasquez,22,Substitute,,
6919,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,c3p7hlz4zb6pqm3wgtk5jleqd,S. Perez,25,Goalkeeper,Centre,1
6920,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,2mg31e4otqxsqhnsmbhphu0ut,L. Aveldaño,2,Defender,Left/Centre,4
6921,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,2vq6zte475lnqe51wu8ub6ok5,M. Zenteno,8,Defender,Centre,5
6922,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,17qf5ikex0q4ytrw7pk22tal1,A. Contreras,30,Defender,Centre/Right,6
6923,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,2knmaxmdj593azj6y8jf7c7o5,F. Saavedra,24,Midfielder,Left,3
6924,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,r08krgj1120soe0mectwfd91,R. Caroca,5,Midfielder,Left/Centre,8
6925,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,c1w8b6hy98azzdz48pw8uago9,R. Blanco,19,Midfielder,Centre,11
6926,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,60a2pk7zaclwwq7n9qchurxlh,D. Orellana,20,Midfielder,Centre/Right,7
6927,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,c8kksze0li7ndudwsxusykamt,S. Zúñiga,21,Midfielder,Right,2
6928,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,deif1zcm3cu6fw7yqogo2eevp,M. Donoso,15,Striker,Left/Centre,9
6929,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,34x6eabrx5t9one9q6ifwtyp5,C. Huanca,28,Striker,Centre/Right,10
6930,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,c3hppkqrb6qixh7jnmzr61lg5,M. Blázquez,3,Substitute,,
6931,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,7ddbecwhaudg8w3nsikjhpoet,M. Cubillos,7,Substitute,,
6932,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,d6z2xzodhjxq7jff3ypstk4tm,M. Fuentes,27,Substitute,,
6933,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,18nk3jxjo37tdkbqkk3g6ges5,J. Hernández,23,Substitute,,
6934,e4et52zcrcefo2askg3hao60a,4wb893al733feakm9teqqqnlg,5cr89nqjzl7mlzv4x4msapixg,F. Levinao,16,Substitute,,
