,matchId,contestantId,periodId,timeMin,timeMinSec,timestamp,type,decision,outcome,playerId
106,e84v6l832ohamgmxob40jly0a,1zsb1ovzidi8rft1vzw4me71m,2,75,74:29,2020-03-10T22:33:19Z,Penalty not awarded,Cancelled,Penalty,1psp77of8z48io79kj56h0ez9
107,e84v6l832ohamgmxob40jly0a,8puc16dm0ut6bvv6u6ivpe2ch,2,91,90:51,2020-03-10T22:49:39Z,Penalty not awarded,Cancelled,Penalty,3zc7nns0gt6n8hlp7uny7ax1x
108,bfewg7qtu12klcloxrthvudey,7gkwmrw0cjz0m168ouw00z4gy,2,49,48:02,2020-10-10T22:37:02Z,Penalty awarded,Cancelled,No penalty,edrl7m5r17vghnnbull4qlnmd
109,bebrv95o10rckgmkngfszrnfu,4wb893al733feakm9teqqqnlg,2,67,66:56,2020-10-02T15:23:17Z,Penalty awarded,Cancelled,No penalty,c1w8b6hy98azzdz48pw8uago9
110,e3660rpp9nsy7y59d3vh26nhm,cdj7tqbsake4a0ks5pwm23t23,1,26,25:43,2020-09-14T19:26:31Z,Goal awarded,Confirmed,Goal,epfwjk84jo741igp7fxe4c2qd
111,6y7vsn2lg19h8cvs8l418snl6,9dqkgu00tn42928lrrxlis95a,2,93,92:58,2020-02-11T01:21:57Z,Card upgrade,Cancelled,Card upgraded,crbzje4uia8cbjfw0707ieitx
112,e3p3x1v6vj07zxwpx1y165bai,ehsvy9m92bp6ktgoy6pwv8rdm,2,95,94:22,2020-09-12T23:21:33Z,Penalty not awarded,Cancelled,Penalty,atheibripyjr0rr4zn3klkzbp
113,2lvm99hhqya6wc6tgycttypec,4y5xl8r1nkg1n9hnjzo53v8xk,2,74,73:21,2020-12-08T15:04:49Z,Red card given,Cancelled,No red card,51mu62nt2yufzzi9qt45e3cnp
114,6xpky81m8uvumwk2hkbqosa5m,4y5xl8r1nkg1n9hnjzo53v8xk,2,76,75:32,2020-02-08T16:35:48Z,Goal awarded,Cancelled,No goal,hj91p5o7cbehtivvgeoswct1
115,6xpky81m8uvumwk2hkbqosa5m,cpqaizhc99tbsqm6h2cgampio,2,90,89:03,2020-02-08T16:49:19Z,Card upgrade,-,-,6ovbzzxyqz4b17scxmkisnvth
116,6ym9dsw0dj09hkaogeek8lkdm,8puc16dm0ut6bvv6u6ivpe2ch,2,58,57:18,2020-02-15T21:48:28Z,Card upgrade,Cancelled,Card upgraded,62czo0yddio2lacx8v4dqldcl
117,616vsh5ee017gsvcmksmhfsb8,eizgmllil1zrzpk6zbue0hl7m,1,28,27:58,2020-12-04T14:01:02Z,Penalty not awarded,Confirmed,No penalty,3gl531k6v6qumpxb5tp17nxlh
118,9p84t2hzs0vxene7gnpe8imi2,4wb893al733feakm9teqqqnlg,2,81,80:31,2020-02-29T16:37:55Z,Card upgrade,Cancelled,Card upgraded,gr9yavamkh4wlc9tk0x4355h
119,3666dznk2dr3vdmzw5rnfhiei,2nxp7ufclxwbtaozvx5zj1zym,2,68,67:29,2020-02-03T23:58:28Z,Goal awarded,Cancelled,No goal,u17bw7ovt1wyrdyf18k2mkt1
120,9pg2evs77obh70jmd5wa7lsh6,59d4d2m78t2lqabd1m7o90std,1,9,8:25,2020-03-03T21:09:42Z,Penalty not awarded,Cancelled,Penalty,1udhwk2qkh23pl0vykuj8m7rp
121,9pg2evs77obh70jmd5wa7lsh6,59d4d2m78t2lqabd1m7o90std,2,65,64:25,2020-03-03T22:25:11Z,Card upgrade,Confirmed,No change,1ai6aiqnprhl5yrr8xfdswxnu
122,362qf7qwwf5o21gwe3hlw7k7o,2nxp7ufclxwbtaozvx5zj1zym,2,76,75:32,2020-11-15T20:35:04Z,Goal awarded,Cancelled,No goal,didi62zdit4vtyfye0qxw7105
123,e97sbhywcohl2jbzelfi3xnxm,59d4d2m78t2lqabd1m7o90std,1,47,46:27,2020-03-16T00:17:00Z,Card upgrade,Cancelled,Card upgraded,757f9x11lzcug3d6sn39d85wp
124,e3ivkmgycpwfrl2n0p9x6f8fe,bd1veyn5g4r8zbaquf8b8pksp,2,48,47:22,2020-09-15T20:02:58Z,Card upgrade,Confirmed,No change,3yugvnpaflo89btdo3yw5eklx
125,bfc2u5g9u73b92gdojhvmqs16,bd1veyn5g4r8zbaquf8b8pksp,1,4,3:16,2020-10-09T18:33:35Z,Penalty not awarded,Cancelled,Penalty,7p1eebxgitfz4bhv988kbiqne
126,e942lemd4mqsxtbxiv50i4h9m,hfu6x1260h62zj7xl6cn95hx,2,50,49:25,2020-08-30T23:39:54Z,Penalty not awarded,Cancelled,Penalty,9t9zkfm9ko2ezs4ch46a0wgr9
